k,sse,silhouette,selected
2,8581.0489651818,0.016248897050855873,False
3,8505.024780781994,0.013483831788298381,True
4,8437.185289429775,0.008053090954304646,False
5,8387.613345665748,0.009219463068953705,False
6,8347.203493744517,0.008824206881362795,False
7,8313.844375494173,0.009672793773622393,False
