cluster,rank,keyword,weight,cluster_size
0,1,전형,0.09797894287796564,2241
0,2,수능,0.08684545061477718,2241
0,3,입시,0.07681989885685296,2241
0,4,수시,0.06902632862047366,2241
0,5,대학,0.06571293772131427,2241
0,6,지역,0.0654850952637417,2241
0,7,모집,0.05769871397551731,2241
0,8,인재,0.0562838135281595,2241
0,9,등급,0.05508975744230285,2241
0,10,학생,0.05327949212960726,2241
0,11,정시,0.05246197624802187,2241
0,12,학년도,0.05053089251332768,2241
0,13,교과,0.0463792607144004,2241
0,14,최저,0.04399186760329171,2241
0,15,수학,0.04328180239638518,2241
1,1,정부,0.10429989284338972,1908
1,2,전공의,0.08413787803612956,1908
1,3,환자,0.0713885965216042,1908
1,4,교수,0.06339251872692207,1908
1,5,국민,0.059230617263156884,1908
1,6,진료,0.0571318806547866,1908
1,7,정원,0.05205755274727177,1908
1,8,필수,0.05107240128847431,1908
1,9,정책,0.04151820011995027,1908
1,10,파업,0.03919146334527064,1908
1,11,집단,0.03443120500127094,1908
1,12,의협,0.0321526998586399,1908
1,13,대학,0.032125002468725426,1908
1,14,응급실,0.02968705496793309,1908
1,15,부족,0.028850854261055246,1908
2,1,정부,0.02555463820307885,4797
2,2,정원,0.0212675209767117,4797
2,3,대통령,0.020692523153913286,4797
2,4,대학,0.02019202321457768,4797
2,5,국민,0.019798362363036764,4797
2,6,교육,0.018195298155076912,4797
2,7,감사,0.016293641784778053,4797
2,8,미국,0.014838434177483607,4797
2,9,윤석열,0.01444759978451208,4797
2,10,학생,0.014179801597586231,4797
2,11,한국,0.013738427197088052,4797
2,12,서울,0.013034239815262373,4797
2,13,교수,0.012940448853494928,4797
2,14,정책,0.01291461627140379,4797
2,15,수업,0.01259719103639156,4797
