,doc_freq,mean_tfidf_in_corpus,sticky_score
마련,379,0.004928369136503827,63.929892230616055
도움,382,0.005299460147473372,60.64011693973729
기준,562,0.008311866256209482,60.35310049961666
개인,521,0.0076989612060631195,59.892208696926524
예정,454,0.006621595958073008,59.56757646265812
모습,347,0.004842221977706766,59.39520978903426
현실,651,0.009960879632291496,59.393043427108694
하루,687,0.010633477947590987,59.05370716263412
방향,345,0.004969751137914939,57.79135378170865
장기,298,0.004160951113614418,57.741294858206636
수준,677,0.01073722430909124,57.67973604079626
결정,605,0.009507081687789198,57.58021284854962
계획,675,0.010730615085506249,57.541739719513565
유일,184,0.0022188832403763335,57.16268229054738
중심,411,0.006193624651828967,57.13392342419533
일반,495,0.00767189079033938,57.08097714415842
전문,493,0.00765119086604105,56.986374203717716
관리,395,0.005950075551538705,56.83391454824536
가운데,375,0.005653575339090131,56.360675409633345
지금,773,0.012775604949009228,56.11368813647606
판단,331,0.004902932814219418,56.07382133888817
자리,397,0.0060927123232403105,55.972945455460156
고려,422,0.0065397260954309965,55.97020298333226
비교,307,0.004489360563693243,55.92636818767291
기존,391,0.00599519186624469,55.895536173463825
마지막,338,0.00506919409968488,55.69108426068452
실제,228,0.003109913826570563,55.47561569928343
압박,198,0.0025723092267915327,55.42633278078045
선택,569,0.009272431660946247,55.3909744820426
상대,293,0.004297167668754478,55.312578026984184
차이,337,0.0051036111298627005,55.21321605027952
참고,286,0.004220886908931176,54.77996459006812
활동,346,0.0053216579639834465,54.732477139901455
종합,461,0.007451706916275343,54.54519478334706
미래,510,0.008375713527388615,54.39585995350356
생활,305,0.004651686250455222,53.96619459819331
우려,446,0.007269215906971864,53.934980658078196
준비,662,0.011290337858480522,53.86345010387244
전국,704,0.01208580547425084,53.79875173792493
실질,170,0.002180871234434224,53.44447714817277
핵심,311,0.004819513466805965,53.44089360286198
사용,296,0.004544688344246028,53.38442516921127
전문가,364,0.005844225848472813,53.18351674225087
부담,382,0.0061851992781749585,53.16484417632298
성공,272,0.004116225940766116,53.16418843677378
위험,242,0.0035589983805803817,53.081835043159685
추진,537,0.009122613814043445,53.04953936452675
인정,249,0.0036968491402742227,53.014263938113686
보장,272,0.00413828750909246,52.93592456994324
직전,137,0.001599841790094157,52.69551421243919
이용,475,0.008017421197511615,52.67581380484675
목적,299,0.004703363758504394,52.425202505127864
기관,380,0.006253585066755244,52.38788771384547
구조,313,0.004974712348825828,52.387459299444245
제도,411,0.00684626492041623,52.38161139965654
기록,236,0.0035095552401621984,52.33332056744284
사례,252,0.0038209160617445797,52.27222311537342
배출,260,0.00399809346021811,52.01983557719506
결론,248,0.0037799546592733606,51.88333732807844
역할,229,0.0034265361309022374,51.73345325283139
걱정,519,0.009039165624572448,51.6975234206382
시행,298,0.004764675218914274,51.694152520898776
기회,377,0.00630839621359112,51.58450486016464
최소,334,0.005479281606234078,51.548924757127395
요즘,448,0.007698204584931016,51.504881912771545
의견,660,0.01186135562754525,51.31651896682443
정신,223,0.0033629872266947003,51.11177008165107
분석,426,0.007354545147250117,50.99020862197592
적극,250,0.00390569905445296,50.961136674919366
부모,275,0.004402261901406027,50.90460348255732
이제,359,0.006057217144312235,50.86990986090546
마찬가지,195,0.002835036890494896,50.846968508518316
이야기,564,0.010093218888789066,50.841870664788274
목표,338,0.005655149839414943,50.78773703909779
이익,277,0.004455991607038278,50.76987282067435
대형,274,0.004404053670845849,50.70267926430738
가슴,141,0.0017809225261134682,50.702599110899094
경험,293,0.004785364697784226,50.64503541362189
요구,345,0.005819312742908842,50.591608422528076
입장,673,0.012302873412498406,50.59057386562053
책임,367,0.006257311616102231,50.569690184684255
실시,181,0.002585583803666563,50.47992458436258
희망,257,0.0040976154080453265,50.415729596702995
본격,205,0.0030673816950591774,50.40097423092164
제시,297,0.0048965858718496074,50.36812936412622
지적,239,0.003747813188097609,50.33896459935577
대책,521,0.00935464789227276,50.315568952257706
포스팅,528,0.009513395375993739,50.221644018604486
시점,212,0.0032243082829453637,50.1857312014607
주목,190,0.0027941638433047894,50.07690965567432
얼굴,131,0.0016189722782155845,50.0196207075761
가족,332,0.005653831000911862,49.896067386517885
시대,342,0.005858205503973099,49.86727210228278
차지,160,0.0022185638672811113,49.7116125693539
적용,327,0.005586967244059644,49.643483546225305
언급,233,0.003694205531717569,49.63566218515091
국가,638,0.011857862008860947,49.61944680696719
사회,674,0.012612663637107193,49.51271977092873
논의,444,0.007972102630525897,49.486727725268466
검토,275,0.0045660240012532815,49.40690157607643
공유,299,0.005058323466559253,49.353587943994874
최대,388,0.006864669647851214,49.33455788648534
피해,406,0.007231686891705343,49.32160386337165
공개,319,0.005468936049707458,49.31259136723511
전환,176,0.00257008254689878,49.29857998742514
강조,277,0.004628183820491248,49.216587239295684
영향,466,0.00848811658643034,49.11406766085286
발표,1029,0.01997718236606986,49.05329905814163
분야,442,0.008013176631315042,49.039314115328864
현상,374,0.006632176005659953,49.003062786110405
경쟁,469,0.008588041904052594,48.91509702327927
대표,481,0.008841622521621328,48.87405495824271
안정,232,0.0037490515073545414,48.85186013264269
비난,272,0.004568611799740455,48.8452077073639
그동안,188,0.002851205742139677,48.81588068456446
단순,204,0.003180949985403243,48.79273866279571
발전,271,0.0045574398913408205,48.76346038798396
고민,322,0.005608406562587826,48.72581566378478
동시,184,0.0027819796723830234,48.65176863419303
전달,187,0.0028454613975198123,48.62875495788579
과거,222,0.003568126578941289,48.597602575945
동료,126,0.0015934246203769085,48.584408048724434
구체,235,0.0038392933894999736,48.56080859033879
방안,426,0.007794043538366839,48.44187979527713
전망,370,0.006638427745131187,48.43928781493572
분위기,226,0.003674402469270586,48.34842559786386
지원자,166,0.0024363012745639567,48.30775497735258
파악,203,0.0032040477356372996,48.28679709775628
반영,265,0.004488867208892583,48.27954292110951
자원,147,0.002046813863311566,48.24712194273216
본인,398,0.007252686487304507,48.22671994292549
활용,237,0.003916503631469293,48.20498829351475
조건,274,0.004684758151532034,48.19906013524206
평생,160,0.0023264930427715946,48.098702730696196
도입,256,0.0043303379325437584,48.02697375658338
안전,231,0.003815040848547018,47.97467088357233
소통,239,0.003982928719889992,47.9637605583241
조정,350,0.006302844485778371,47.926530639067195
세계,396,0.007269649222461488,47.88594888939307
원인,215,0.0034968080400546754,47.81169177890588
마무리,215,0.0034968242799123315,47.81151911148095
반발,553,0.01057466128318026,47.776776051632105
연결,146,0.0020601146049276267,47.71063141390189
현장,528,0.010067241329046349,47.7083660057404
위기,256,0.0043675278551204575,47.69420986903381
존재,213,0.003470041756468214,47.65056158408049
서울,936,0.018646696688856886,47.64159669298889
소리,314,0.0055925615121918135,47.62943802940796
지원,843,0.016704764986705613,47.61430047972978
이슈,469,0.008852005689271998,47.604519809677065
확보,259,0.0044427490687334766,47.58624671636186
정확,169,0.0025626357410936406,47.43678901849259
정리,343,0.006237042134816688,47.395053615877295
경영,145,0.002059948434529524,47.38641944542904
회사,286,0.005035515008791347,47.386179900706345
체계,437,0.008227357288480655,47.359171899146745
사태,438,0.008255928023867234,47.3210248470578
강화,372,0.00686921832500391,47.27280202888705
세상,277,0.004876569166427881,47.13634642172971
조사,453,0.008612445824985743,47.12640344068435
의지,184,0.002905019105746644,47.11884756958673
참여,299,0.005348246959685538,47.09961693342993
치료,491,0.009432201068615207,47.06581063483819
인사,170,0.002614326023103263,47.03504855769427
의무,262,0.0045717599124005075,47.022844508589266
혜택,243,0.004169612988641155,47.00545292924783
오후,259,0.0045182379540810004,46.93527212041611
향후,199,0.0032434411129948857,46.89590233515746
감사,928,0.018801323468559953,46.86555428850274
감소,314,0.005704358979900573,46.835200940367415
강제,182,0.002888718138386618,46.802054950557455
국내,299,0.00539075842119205,46.78630927567254
실력,286,0.0051277952746586995,46.67257752274196
해결책,213,0.003566510178613402,46.64393413542688
사망,247,0.004300654394465665,46.59802009689389
절반,189,0.003058995927489857,46.56323962287895
개선,436,0.008374869196900364,46.50731555210986
주장,502,0.009798877732721707,46.48631204323099
방문,337,0.006251593939916909,46.47254145670786
주도,156,0.002357505213772183,46.463070067650854
통계,187,0.0030270925751268002,46.43548577825082
불편,204,0.003398187782951788,46.382739907273354
경제,465,0.00903253857008174,46.34918637509025
우리나라,417,0.008006006442940585,46.302431898310275
당시,246,0.004313478577721958,46.2973542476325
능력,250,0.004400672549971531,46.2905309823529
