,section_1_mean_tfidf,section_2_mean_tfidf,section_3_mean_tfidf,section_4_mean_tfidf,diff_vs_others_max_s1,diff_vs_others_max_s2,diff_vs_others_max_s3,diff_vs_others_max_s4
휴진,0.0014908193747242185,0.01973379061700323,0.0011908833499981012,9.606594198753607e-05,-0.018242971242279013,0.018242971242279013,-0.01854290726700513,-0.019637724675015695
법원,0.0017019244605435795,0.015869082252642552,0.0021015455011438983,0.002963396311375163,-0.014167157792098973,0.012905685941267389,-0.013767536751498654,-0.012905685941267389
집행,0.0019574111954082426,0.010738165191185797,0.0013382541707723144,0.0007296732878686506,-0.008780753995777555,0.008780753995777555,-0.009399911020413484,-0.010008491903317146
확정,0.006788560619521016,0.0165128260125619,0.0035999315492415856,0.00845031203238008,-0.009724265393040884,0.008062513980181821,-0.012912894463320316,-0.008062513980181821
기각,0.00018520128667358186,0.00838894451026911,0.0008769268512105753,0.0010324710597752302,-0.008203743223595529,0.007356473450493881,-0.007512017659058535,-0.007356473450493881
항고,1.3832408641789727e-05,0.005523239439248817,0.00019511069476899529,0.00027569037251587116,-0.005509407030607027,0.005247549066732946,-0.005328128744479822,-0.005247549066732946
정지,0.006287363501149452,0.01152433160260116,0.003693462447728478,0.0029060701605356618,-0.005236968101451709,0.005236968101451709,-0.007830869154872681,-0.008618261442065499
결정,0.008939517794208282,0.014881974636575342,0.006689073934124293,0.01029148108095945,-0.00594245684236706,0.004590493555615891,-0.008192900702451048,-0.004590493555615891
대교협,0.0004967300187332379,0.0057248169525419106,0.0005157593123774821,0.0012175896990971268,-0.005228086933808673,0.004507227253444783,-0.005209057640164428,-0.004507227253444783
회의록,2.323395454595014e-05,0.006053862609263427,0.0017110463483597928,6.229140765527682e-05,-0.006030628654717477,0.004342816260903635,-0.004342816260903635,-0.0059915712016081505
천공,0.0010413337469293493,0.005416025221361574,0.0010868038394335248,0.0003474228283626939,-0.004374691474432224,0.004329221381928049,-0.004329221381928049,-0.00506860239299888
전공,0.01261679533479629,0.016796700437984518,0.012529051569413774,0.008858480725585255,-0.004179905103188228,0.004179905103188228,-0.004267648868570744,-0.007938219712399263
각하,0.00020418056425363734,0.005863671680248665,0.00026005945412551273,0.001698746043023509,-0.005659491115995027,0.004164925637225156,-0.005603612226123152,-0.004164925637225156
