keyword,count
재수,439
고,410
제한,410
후기,406
활동,403
미래,399
수,396
이재명,395
인증,382
과탐,381
편입,379
고민,370
유지,366
학부모,365
이용,362
약대,361
마음,359
지난해,357
설명회,356
공공,352
탄핵,349
등록,348
다양,344
시스템,344
기존,342
치료,341
금지,341
부모,341
자연,339
대선,336
친구,335
입,332
카페,331
전,325
거부,325
국어,320
신입,318
주요,318
제도,317
학종,316
하락,316
자유,314
결,313
공대,312
선배,311
차이,310
정상,310
평균,308
해당,308
목표,307
추천,306
졸업,305
연세대,304
후보,304
간호사,303
노력,303
질문,302
화교,302
예정,300
작성,300
산업,299
이전,296
주장,295
환경,294
사탐,294
컷,292
제적,292
트럼프,288
민주당,288
구조,287
게시,287
의학,287
의미,287
갈등,286
발생,285
투자,284
기간,282
일반고,282
생기,281
적용,280
선거,280
사항,278
대부분,274
최고,273
신설,273
국회,271
판단,269
공유,267
학기,266
기회,265
단위,265
오후,265
합,264
사태,264
단계,263
자리,262
기대,262
점,260
조사,258
고려,257
