topic_0,topic_1,topic_2,topic_3,topic_4,dominant_topic,section,date,title
0.001807201369233713,0.04727738319339967,0.0018101768364765477,0.9472880399993311,0.0018171986015589727,3,1,2024-03-10,병원 남은 참의사들 신상 조롱 퍼지자 일부 전공의 존중 해야
0.0013778877019444498,0.0013744932811024112,0.8094220027921731,0.18646333504477133,0.0013622811800087333,2,1,2024-03-21,지방 의대 증원과 변경될 지역인재전형 의대 입시 어떻게 바뀔까
0.002953792726601591,0.0029713604103140056,0.7020661771932917,0.28903548245110505,0.002973187218687643,2,1,2024-03-21,의대증원 발표 이유 의대가려면 어디로
0.0016851780597893116,0.2343392387249225,0.14074954645841664,0.6215610779338913,0.0016649588229802172,3,1,2024-03-21,정부 의대 증원 2000명 중 82 1639명 비수도권 지방 의대에 배정 서울권 의대는 0명
0.0038908654322964333,0.0038438779103700483,0.9846177384907929,0.0038252075574748993,0.00382231060906563,2,1,2024-03-21,의대증원 2000명 지역별 시뮬레이션 실제 권역별로 얼마나 늘어나고 변화했을까
0.003741793076366573,0.0037942799858566227,0.9849241277742755,0.0038015444193030853,0.003738254744198244,2,1,2024-03-21,전주독학재수학원 전북대 의대 정원 142명 200명 증원 지거국 중 증원 수 가장 적음
0.003290955128552382,0.366239319593769,0.2658146077346503,0.3613785465023094,0.003276571040718885,1,1,2024-03-21,충북대 의대 정원 151명 증가 전국 최다 증원 충주 충북대병원 가속화
0.004990233645185462,0.9800371143206991,0.004998660558114547,0.005057770534735097,0.004916220941265727,1,1,2024-03-21,의대 정원 증원으로 의정 갈등 속의 의료개혁 돌파구
0.003060489829048622,0.0030456604127758998,0.7405163434198998,0.25036714215140055,0.0030103641868750625,2,1,2024-03-21,공유 이슈 의대 증원 2000명 중 서울권 의대 0명 지방 1639명 배정
0.4578979554577212,0.0007614047307139378,0.5397851004053804,0.0007930294285905455,0.0007625099775937303,2,1,2024-03-21,의대증원에 따른 부동산 수혜지 뽑아보기
0.001023719136729353,0.00102908987655968,0.9959048096163033,0.0010245826472818672,0.001017798723125798,2,1,2024-03-21,금호동영어학원 이지스터디 금호동수학학원 이지아카데미 업데이트 뉴스
0.0016291056994622028,0.04193358103537948,0.001618880688766657,0.9531847629921553,0.0016336695842363537,3,1,2024-03-21,파티가 시작됐다
0.0027077812431320933,0.0027295902601886402,0.15921634203831403,0.832652869681541,0.002693416776824311,3,1,2024-03-21,240321신문요약 의대 서울 0명 비수도권 1639명
0.0031488032849974847,0.003171091366648149,0.8147101389280477,0.17578332444503542,0.0031866419752713446,2,1,2024-03-21,상산고 민사고등 전사고 전원 의대 진학의 길 열리다
