,doc_freq,mean_tfidf_in_corpus,sticky_score
실제,112,0.0027319708437739416,30.010952573986465
중심,150,0.004148857539427017,29.132676297874916
존재,90,0.0021322399237817245,28.73343108766013
경험,134,0.0036748631346114158,28.663940770351207
고려,174,0.005094387752021281,28.550858114055952
수준,281,0.008940087715451104,28.269368243421738
개인,205,0.00628503907974669,28.139862772998068
지금,271,0.008686553801966283,27.976926112255676
핵심,118,0.0032429347875940913,27.81093886830879
현실,250,0.008046261498921892,27.63572554582844
방향,152,0.0045957826089281775,27.163313985336224
자리,164,0.005041115491411513,27.147304207832853
인정,137,0.004051629005622913,27.119964638635736
부족,250,0.008258810725823055,27.00130798686096
활용,140,0.0042025858910371364,26.909695088588144
의견,285,0.00969567384614892,26.646287470949478
참고,181,0.005793516112054209,26.643051553059408
사례,108,0.0030593686387909856,26.605122522739393
적용,147,0.00453989575084055,26.53479534839553
마무리,106,0.0030226623284628027,26.35070790058241
조건,136,0.004197125318305982,26.16831260946573
이제,169,0.0054783362256383165,26.086944875008903
단순,104,0.0029919377278795124,26.05251060748486
정확,110,0.003229555380951467,26.007461799744718
예정,167,0.005438280097467729,25.93860432783649
활동,253,0.00876227621431236,25.916087031944418
하루,196,0.0065744353167274385,25.876516440394198
상대,125,0.0038460565195318507,25.79416882493882
확보,90,0.0024908114376521935,25.781971214271913
준비,324,0.011681874323340346,25.54827399635198
주목,65,0.0015511550080365155,25.4786556658613
기회,165,0.005499739526721043,25.38563265830414
마찬가지,84,0.0023246265036558356,25.265996017186193
구조,136,0.004389073026552385,25.236251082499226
입장,231,0.008161397081444255,25.21449490142434
차이,163,0.005467816764089109,25.20170344110792
동시,82,0.002254210309970974,25.198125563289544
정성,101,0.003010843457401578,25.181735730327603
목적,164,0.005524479776216991,25.13610366267241
최종,136,0.004419259402286463,25.095680037501
전문가,125,0.003982075571243139,25.089944584844933
부탁,131,0.004231425354575464,25.04097662129995
비교,166,0.005646468791525027,24.97566831452938
파악,103,0.0031380464368161894,24.890972484892686
요소,78,0.0021344084871279057,24.885078100165654
시점,89,0.0025892111474544247,24.79653504451011
정치,285,0.010496815530375155,24.789473158633875
마지막,150,0.00505533388650854,24.771548986622253
강조,101,0.0030839209830364734,24.73113471576146
이야기,207,0.007422434906161698,24.577215770294956
제시,105,0.00328614347864659,24.497546692756824
제도,153,0.005290453866765904,24.322569283647177
특성,59,0.0014285471876761132,24.29436014231099
당시,71,0.0019249493500105048,24.27392460650473
졸업,169,0.005984231761346264,24.197364259204356
성공,140,0.004790523707063582,24.17743317918217
원인,84,0.002483849074376003,24.111262631273817
의지,78,0.0022504042334381587,23.99701526277378
전국,217,0.008052718014687394,23.970701357087766
전반,87,0.002629714757359041,23.968825600858146
역할,73,0.002046992025987743,23.958054165348727
세계,117,0.0038868995512257743,23.941560241534546
기준,284,0.01088378281919186,23.89811428910925
평균,153,0.005435464977424977,23.774505888340627
목소리,82,0.002453047636567087,23.747138363119095
사태,161,0.005784824723029239,23.729426561828394
결정,286,0.011056525956853462,23.721592855479646
실시,59,0.0015045981788649014,23.55667288185091
기록,110,0.003676090416001991,23.523924948835543
자녀,93,0.00295548307205813,23.51166679411674
전문,154,0.005552773803102601,23.501497934673743
신경,76,0.002234826987099734,23.4943013345328
허용,162,0.005902428768217919,23.469999537833033
이익,105,0.003474348749543698,23.46710233767721
나머지,87,0.002709673164844483,23.452200809622326
자유,215,0.00817592974644777,23.430868145348633
현상,132,0.004634351969829924,23.427716391665978
예전,98,0.00318391366045359,23.423045491186244
실질,79,0.0023732786919925673,23.419351679281313
본인,221,0.008440322910550798,23.410216164640254
계획,202,0.007643385253845059,23.37047280290314
부담,95,0.003068630476407136,23.349380227788867
결론,89,0.0028161685767053375,23.321820881622983
세상,128,0.004499201016548098,23.27610858647005
생활,141,0.005067475423438375,23.238660259804856
질문,203,0.007747555571135982,23.206483039654223
최소,89,0.0028374277533631228,23.1926190459222
시행,105,0.0035295467687993347,23.181127242854977
정상,190,0.007197710752066063,23.177202239309853
위기,77,0.002322436000348838,23.17576621247645
보장,81,0.002499930841184378,23.143314446919064
주변,105,0.0035371048177283474,23.142511407213146
능력,124,0.004365512440294863,23.110560525172417
가치,78,0.0023766362907148074,23.099911653051628
범위,140,0.005067497817007737,23.073761906855164
요즘,140,0.005071803455218852,23.057399837220824
지적,82,0.0025614693687078327,23.024204762359396
규모,180,0.006823555702991964,23.007441479730574
일반,262,0.010411072019534834,22.96015655246739
기존,178,0.006767290272775981,22.916614900293137
체계,99,0.003324553346693861,22.892537578634776
치열,100,0.003368570201456189,22.890784716396844
나이,74,0.0022335935433372258,22.884756234275628
반대,217,0.008499625171936115,22.84300654735973
가족,94,0.0031153700140783068,22.84120253547908
목표,164,0.0061921732483565,22.802565279900065
발전,86,0.0027720132049211957,22.799496005952264
얘기,209,0.008176064679326437,22.776648520239235
소개,54,0.0013719116571564607,22.76644656518839
느낌,98,0.0033080179864302724,22.74828013919347
사회,243,0.009702608012189327,22.70474633129088
조치,112,0.003936833803975197,22.68660531165061
선택,336,0.013865956106589692,22.601977134256433
바탕,59,0.001624800920547549,22.477895195073405
적극,78,0.0024775788070493646,22.429398247391834
표현,166,0.006402790661391062,22.423975983241817
해결,236,0.00955788110256524,22.35297004269723
모습,84,0.0027627849698939138,22.32389059488782
분야,116,0.004200857866750652,22.30401271713151
변화,238,0.009672429481915146,22.300451870241954
국가,197,0.007842430794584068,22.27894168203852
무시,92,0.003132005856900955,22.26521529400757
영향,273,0.011263348152968528,22.261457197063777
행복,110,0.00394627215876163,22.23897037391086
개선,117,0.004264591813030356,22.223945208898076
필수,256,0.01052442120802794,22.21369692923665
언급,85,0.0028308297402514504,22.188404539853217
공개,140,0.005318932397550308,22.15564136344844
도움,209,0.008443698612583712,22.131159471936964
희망,127,0.004740338992041661,22.124128936648397
고생,106,0.0037961187728344967,22.101204123715686
걱정,226,0.009227094294709765,22.0981633186764
도입,104,0.003721993919215055,22.024594224231464
사고,87,0.002953387818607956,22.006442067359313
세부,47,0.0011357444774762518,22.006377867608283
조정,119,0.00440964627517807,21.99774143200941
구성,85,0.002867233542065514,21.979536295240386
사용,85,0.002876767390895566,21.92548363866739
마련,63,0.0018741741588286056,21.919339788955654
절대,63,0.0018751222281696788,21.912111903536776
추진,149,0.0058009192716623114,21.9088029203412
고민,197,0.008000866729164472,21.886781120942892
확대,214,0.008794987572353787,21.847909292300887
인식,61,0.001796715087190694,21.81130293871823
검토,99,0.0035421527819450515,21.795832230373804
압박,62,0.0018447961937379611,21.794179891155647
이름,71,0.002258877412812007,21.786643376295583
인간,90,0.003142592109800573,21.725527789008574
행정,61,0.0018115791334235567,21.695992574010372
발표,293,0.012512316446992123,21.683920825079742
덕분,67,0.0020907932296178986,21.67728315112264
시스템,147,0.005787336914559625,21.657978946745363
미래,196,0.008071929111153307,21.605107094480225
요구,123,0.004696078720229971,21.593802691517936
안정,122,0.004661591213278028,21.54871226200076
해외,82,0.0028057151110961877,21.54654187354054
정리,201,0.008330858201597782,21.541426914577002
실력,97,0.0035116145693057884,21.500063560377587
비난,143,0.005654826634309867,21.488163081926732
기억,68,0.0021650963288041302,21.48433821149844
수치,62,0.001886115703920164,21.48216023210241
서울,314,0.013621146751299407,21.475743684201397
선호,62,0.0018873747148610966,21.472793150432032
방문,69,0.0022148676475837715,21.462780917857998
우려,129,0.005016097953857445,21.44247001784385
진심,73,0.0024073081096986325,21.424537391324044
단체,114,0.004321667796594243,21.42185577103434
대한민국,144,0.0057266731881302204,21.40731323978993
전망,140,0.005544168573036144,21.393091947056536
시장,113,0.004287113485722402,21.372720730347687
전환,71,0.00232230061495091,21.370733184254338
우리나라,119,0.0045690089185581005,21.368254520736315
건강,166,0.006777217855123213,21.344393726948013
동의,90,0.003217080346412289,21.34177976394691
근거,112,0.0042548597304449464,21.313604119841386
구체,73,0.00242516438615523,21.312845682698168
현장,110,0.004166085555215035,21.292717440375668
사진,83,0.0028997840705403404,21.283229660584723
기관,85,0.002995160244437969,21.275742348091377
조심,73,0.0024320701779284026,21.26996133979486
실패,104,0.003891689042999839,21.26055010565875
소리,123,0.004799737022803718,21.207858135012327
지원,417,0.018682063734846894,21.186802645177178
강화,99,0.003674376722806229,21.17929423980317
책임,138,0.00552032901656001,21.164576150914225
머리,90,0.003253324535284189,21.15991837758662
회원,181,0.00755474898614466,21.157838797274948
구분,49,0.0013170667265235182,21.147427235951312
조사,122,0.004773873573513486,21.12966251281481
최대,141,0.005675406588990959,21.122308899136772
일정,100,0.003735193551198012,21.118460928529483
위주,76,0.0025993698616846987,21.114807013588738
최선,79,0.0027415954792878224,21.113987451961776
언론,84,0.0029818391764978446,21.09577918058476
투자,121,0.004761188096740786,21.00261230291231
입학,279,0.012290606485399152,20.9922700146532
영역,92,0.00338816285416458,20.96549354650489
체크,65,0.0021037535762652875,20.94238424630791
논리,71,0.0023914077691458645,20.935258993607114
반발,116,0.004544654168861877,20.921052326661293
