keyword,count
치료,1214
면허,1213
수가,1211
사직,1203
반도체,1150
현장,1142
아이,1141
주장,1137
간호사,1112
근무,1094
인구,1089
서비스,1079
단체,1069
총선,1055
전문의,1031
행동,1028
투자,1028
미래,1017
수요,1009
조사,989
대책,984
반발,981
개선,974
최고,951
분야,947
사업,940
발생,937
시스템,930
배정,924
최대,923
사직서,901
직업,895
업무,894
체계,886
제출,885
생명,881
기술,878
급여,864
평균,857
대응,841
이슈,830
다음,825
의학,822
우리나라,816
유지,813
제도,812
우려,812
사고,801
이용,801
응급,800
이재명,796
부동산,794
공공,787
소아과,783
마음,782
지지,780
방안,779
강화,773
전망,772
지난해,765
미용,764
해당,762
기관,759
숫자,755
예정,744
사태,741
수련,734
피해,732
부담,732
국내,730
설명,729
연구,726
찬성,725
선거,725
대화,720
금지,719
재정,705
개발,697
가격,694
중심,686
대상,675
산업,670
금리,668
민주당,666
공급,665
자신,657
다양,656
졸업,656
기대,651
중국,649
적용,643
붕괴,643
주요,643
집단행동,641
노력,638
책임,636
고려,634
자리,630
상태,630
회사,628
