,doc_freq,mean_tfidf_in_corpus,sticky_score
결정,682,0.00705016554228627,84.71875471598192
지금,799,0.008978560522790474,80.07166947328011
예정,464,0.004907887251039235,78.53907501677176
중심,377,0.003801849275132326,78.51141891362487
도움,592,0.006555590306640988,78.35258080095495
개인,483,0.005231263191213238,77.5123735234106
비교,411,0.0043076361412817945,77.43560203822553
거리,306,0.002963056735579327,77.21312623480985
핵심,333,0.003335928964737907,76.80015118055073
부담,375,0.0038973936674083667,76.57134089415459
국가,718,0.00844995343500496,75.9792103673602
하루,749,0.008958568051563727,75.21161638117134
장소,274,0.0026492821177642495,75.08326053121579
활용,422,0.0046233094795967225,75.04477595109418
수준,656,0.007786667425891071,74.65856714537865
목표,433,0.004859623879050394,73.89552792766823
전문가,384,0.0042116686916403795,73.68081563126675
판단,425,0.004768195612781624,73.67988683640537
구조,355,0.0038202565376274046,73.64753249725082
생활,366,0.003975553633141043,73.55965325389246
기존,406,0.004557693136520298,73.05189221983544
계획,583,0.007023784289984241,72.65898221213833
전국,649,0.007946649505499245,72.54112275227487
마련,304,0.003192470503608097,72.5109454528955
사회,724,0.009065966339871124,71.92553358064075
적용,386,0.004367034999331637,71.92052968688839
역할,247,0.0024413441217658086,71.77428099613019
최소,278,0.0028760299716394017,71.72287160679963
고려,449,0.005273484468701421,71.5710706291014
시행,336,0.0037002951529327985,71.48487255961984
경험,342,0.0037913266941392073,71.37897743819836
발표,739,0.00938738699903328,71.14397490617961
자리,401,0.004640849120361221,71.08858816176266
사용,351,0.003944458750199575,70.98855865383294
강조,311,0.003397296683409886,70.72527109060898
방향,323,0.003583710311654426,70.46693138062157
조건,287,0.0030739519216553377,70.44756676543828
체크,297,0.0032220791637308194,70.34448869441789
요즘,468,0.005672965618214364,70.13373465053658
정리,440,0.00527987961333385,70.06503740386412
기준,836,0.010935645664991361,70.04229376983646
언급,226,0.002231814460094821,69.92975704223106
전문,507,0.0062773014856875,69.66868158439402
방문,360,0.004167726507895819,69.66312931807681
확대,645,0.008291418391862218,69.41889524261612
가운데,342,0.0039270402257820655,69.41286945667561
대응,313,0.0035185719410752406,69.26967282621563
주목,223,0.0022210217903404226,69.23268903947142
원인,247,0.0025754719825938836,69.08178869879156
상대,306,0.003470636832248373,68.44662438082818
이제,390,0.004703268505337355,68.38184098031186
소통,288,0.003222821050268625,68.20085354592034
마지막,408,0.005014928810511317,67.83122674486263
존재,251,0.002706800534006696,67.71338184973581
성공,354,0.004228788137555894,67.70211197837348
부족,638,0.008429421033719676,67.6605697972874
파악,291,0.003301764651486762,67.64665749425077
모습,310,0.0035840596463039085,67.62564711607769
참고,370,0.004478285669958903,67.53937678514228
준비,932,0.012855993831967989,67.26330938815282
개선,389,0.0047983813126002235,67.08768862004301
반대,547,0.0071597984833986035,67.03596922312367
제시,343,0.0041169563822352415,67.03203513534098
적극,252,0.0027627112695317296,66.9729835612291
우려,398,0.0049433150334965426,66.96599418958455
위험,272,0.0030641729919464204,66.92628501271875
현실,579,0.007651382860113616,66.9257168896576
사례,306,0.0035946768813522652,66.59880725060708
강화,328,0.003931268122590422,66.51433096842031
시점,228,0.002430227408140613,66.46789640211917
확보,293,0.003416860735908889,66.33670779291784
구체,227,0.002425700986765452,66.26381020321726
공개,483,0.006299021529504416,66.17325322957286
마찬가지,208,0.0021437654321920514,66.16269708613977
분석,621,0.008396129227030433,66.09104504581849
해결,658,0.008958796107831091,66.07224335907252
추진,436,0.00560107513042118,66.04984663644953
결론,234,0.002547269783651046,65.96622593479606
활동,472,0.006160613181482147,65.91614265948976
기회,516,0.006830337718385189,65.89754089258005
최대,374,0.004678865498858198,65.85822468857505
미래,521,0.006911391890501283,65.85440428321246
현장,439,0.005698955517398173,65.53260412908436
관리,471,0.006187451224036391,65.5308794896408
세계,411,0.005277173588178688,65.47532806389238
차지,183,0.0017967843497332565,65.43228834123505
규모,489,0.006487085290461227,65.31246553622152
전망,380,0.0048490087036940355,64.96827398461637
절반,221,0.00240427624832792,64.91835088546314
감소,329,0.00407502159358362,64.82731037360642
실제,279,0.0033064663286736184,64.78629546975498
어려움,190,0.001933445621910809,64.77024785488828
이슈,512,0.006906247246706956,64.75891583244554
본인,524,0.007095254616763203,64.7292796590894
영향,630,0.00877765711322494,64.43261332491221
입장,551,0.007561147389767708,64.3605319374078
요구,422,0.005557532903904975,64.35347045665624
정확,263,0.0030924521524862804,64.26464872416898
부동산,384,0.004975520971040734,64.2621792913096
동시,189,0.0019460262761692505,64.15421394196073
안전,268,0.0031789084483189478,64.13157964918052
마무리,274,0.0032776137332115964,64.05440441539892
차이,396,0.005192723839517024,63.94601313771557
인정,315,0.00393110322640687,63.88022832560533
방안,326,0.0041075639657555734,63.826904995358994
행복,366,0.00475293304096096,63.61972186953595
목적,314,0.0039403880086572194,63.5577609389721
지적,283,0.0034527308814367636,63.55650218606617
컨트롤러,176,0.0017724103155250662,63.4826666941857
변화,626,0.00887942295736672,63.36402467041002
기록,425,0.005725487256370427,63.19244744645633
포스팅,592,0.008385581641165325,63.075472851195244
도입,285,0.003520513524922489,63.04593458878917
출신,313,0.003975015750762129,62.91437367852577
조정,361,0.0047434868216677945,62.853804876524954
장기,269,0.0032917730704198163,62.67805766666193
의견,549,0.007760141654126663,62.670219464017585
일반,619,0.008893186958075448,62.56831116435466
전환,228,0.0026583184398266462,62.32371614178126
본격,187,0.0020012183032602293,62.3080299746478
인사,241,0.002871062152176601,62.25681493243186
서울,898,0.013424972640875069,62.25315100116018
의지,199,0.0022024963168312526,62.13902540781151
비판,281,0.0035248456553676516,62.1015657554331
주장,436,0.006024329725161221,62.06997920929644
목소리,255,0.003108707988562275,62.06330571796853
시스템,474,0.006645667222179176,61.995897313576776
실시,246,0.0029732153066146763,61.914590832884144
말씀,522,0.007442268890723089,61.83171926371682
가족,325,0.004260389445567544,61.782497923960406
회복,177,0.001871220965672467,61.64624810008133
건강,618,0.009037740107456657,61.56764305353067
바탕,168,0.0017320848044916988,61.491502651674175
당시,211,0.0024362862124182247,61.403499870726
대책,427,0.005954501265251763,61.39908294121821
분야,369,0.0050126709390797605,61.37039657395179
과거,212,0.0024555893105789577,61.34988302891845
정상,391,0.005375761819967491,61.32600480392375
이야기,483,0.00687866636075046,61.30479168481925
대형,208,0.002396311145512099,61.242916531617595
이름,203,0.0023194276326326934,61.1551214445357
나머지,201,0.0022886109384908913,61.120030237519295
피해,381,0.0052358647288793985,61.09818229948466
해소,168,0.0017497972121747953,61.095414329527955
현상,294,0.003821125824796011,60.981606928385766
사태,545,0.007940634052949268,60.95764537194312
비중,217,0.0025625324022620693,60.91172668695264
제도,382,0.005293857591360117,60.69409649884514
이익,279,0.0036039956121185508,60.59953646906644
머리,239,0.0029442777800828767,60.59410957485306
범위,294,0.0038529262126484128,60.58200498365992
구성,245,0.003046624750418493,60.544284461924136
자료,497,0.007222159577579127,60.446406483676284
능력,420,0.0059534084077991056,60.402032408871335
소개,199,0.002296628022551268,60.36471165041952
최선,270,0.0034843698531909005,60.209128336700125
걱정,563,0.008355811088208348,60.17650363949528
최종,338,0.004634111570367811,59.99171222978362
인기,269,0.0034849885211028263,59.977856963133284
고민,484,0.007072484765168626,59.956756076936344
제출,267,0.003456957165969991,59.9063419407782
발전,219,0.002661211784876977,59.81626108180977
정치,630,0.009540944198913246,59.76694194671403
공유,417,0.005979330827972918,59.74784836515821
조치,275,0.003605483256299669,59.7114319379704
위치,204,0.002422454879378426,59.60633731920806
절차,198,0.002325965987186894,59.531576920144225
연속,173,0.001906867481635033,59.51423692100757
일정,366,0.005150721761548044,59.50521161404045
단계,296,0.003976036547704554,59.485093640750044
특정,183,0.0020770327733919325,59.472879711408474
기관,381,0.005409098188629446,59.44674099016651
보장,245,0.0031242928945791225,59.40412241866296
동일,173,0.001914974292131368,59.34872237706976
이용,501,0.007442024445641838,59.34595466122339
자격,271,0.0035679622079041917,59.32623512757485
안정,386,0.005509408656851312,59.29878124854329
기초,189,0.00219015208229144,59.244824423619335
사업,283,0.0037827640207239595,59.17080557889677
체계,343,0.004799443638541953,59.14360434861199
유익,202,0.0024166143368541605,59.12285674770978
덕분,165,0.0017917068911397114,59.103626001596076
구분,166,0.0018091764143750735,59.09205244303896
