section,rank,word,count
4,18,인재,1181
4,19,합격,1148
4,20,등급,1138
4,21,수시,1137
4,22,인원,1094
4,23,과목,1066
4,24,정책,1014
4,25,공부,972
4,26,수업,962
4,27,국민,951
4,28,선택,947
4,29,서울대,934
4,30,교과,914
4,31,복귀,859
4,32,서울,836
4,33,내신,823
4,34,발표,802
4,35,준비,775
4,36,미국,758
4,37,평가,753
4,38,증가,744
4,39,대통령,720
4,40,기준,719
4,41,반영,716
4,42,성적,715
4,43,분석,704
4,44,한국,696
4,45,입학,694
4,46,수학,691
4,47,환자,688
4,48,전공의,684
4,49,수험,680
4,50,학년,673
4,51,점수,669
4,52,학과,667
4,53,필수,663
4,54,최저,663
4,55,경쟁,662
4,56,일반,657
4,57,상위,657
4,58,전공,652
4,59,사회,640
4,60,휴학,636
4,61,교수,617
4,62,학원,617
4,63,지방,600
4,64,학번,595
4,65,결정,588
4,66,변화,575
4,67,확대,574
4,68,나라,572
4,69,영향,559
4,70,면접,552
4,71,계열,546
4,72,선발,534
4,73,탐구,529
4,74,학생부,527
4,75,지금,525
4,76,말씀,524
4,77,전략,520
4,78,해결,513
4,79,정리,513
4,80,수준,511
4,81,도움,510
4,82,교육부,506
4,83,경제,505
4,84,부족,503
4,85,의견,489
4,86,윤석열,487
4,87,국가,485
4,88,정치,485
4,89,본인,480
4,90,종합,474
4,91,시험,471
4,92,뉴스,470
4,93,영어,464
4,94,대표,457
4,95,과학,457
4,96,자료,455
4,97,논술,455
4,98,계획,450
4,99,재수,450
4,100,진료,448
