,section_1_mean_tfidf,section_2_mean_tfidf,section_3_mean_tfidf,section_4_mean_tfidf,diff_vs_others_max_s1,diff_vs_others_max_s2,diff_vs_others_max_s3,diff_vs_others_max_s4
의료,0.08212779545463346,0.05041629672334588,0.04301177838173474,0.03085263035357616,0.03171149873128758,-0.03171149873128758,-0.03911601707289872,-0.0512751651010573
정원,0.05122964615803677,0.028344158334549382,0.019003372852731706,0.027236187695738236,0.022885487823487385,-0.022885487823487385,-0.03222627330530506,-0.02399345846229853
파업,0.024508934480360022,0.007672456869681948,0.006149678452058553,0.0038468452988926847,0.016836477610678073,-0.016836477610678073,-0.01835925602830147,-0.020662089181467336
병원,0.04512943718219308,0.02860968945732861,0.027872256253691427,0.019729183191630514,0.016519747724864472,-0.016519747724864472,-0.017257180928501654,-0.025400253990562567
전공의,0.03544504320690887,0.01924983458885495,0.01757306018988186,0.011110001570497548,0.016195208618053916,-0.016195208618053916,-0.017871983017027006,-0.02433504163641132
소아,0.017311190545581265,0.0015651159798005375,0.001618284648394054,0.0007016778442706125,0.01569290589718721,-0.015746074565780727,-0.01569290589718721,-0.016609512701310652
지방,0.028588614810521766,0.013614769488580085,0.011002270787620784,0.01016260579136755,0.014973845321941681,-0.014973845321941681,-0.017586344022900983,-0.018426009019154217
정부,0.05350600753987948,0.03872148343812881,0.027217704845074686,0.02175685641770308,0.01478452410175067,-0.01478452410175067,-0.026288302694804797,-0.031749151122176404
진료,0.02797429589726129,0.013348710368876145,0.010198611739964426,0.007363543336919776,0.014625585528385145,-0.014625585528385145,-0.017775684157296863,-0.020610752560341512
청소년과,0.015266031693914292,0.0007460017021240126,0.0006541421373460553,0.0003061274251528385,0.014520029991790279,-0.014520029991790279,-0.014611889556568237,-0.014959904268761454
필수,0.02579767621261511,0.011570553742923451,0.010371943410444617,0.009582701259919389,0.01422712246969166,-0.01422712246969166,-0.015425732802170494,-0.01621497495269572
환자,0.0299094161807338,0.01873535635721247,0.013995673587521157,0.00952409489794862,0.011174059823521331,-0.011174059823521331,-0.015913742593212644,-0.020385321282785182
수도,0.02169850636532511,0.010900566552667766,0.007989214056753999,0.006733494143378858,0.010797939812657344,-0.010797939812657344,-0.013709292308571111,-0.014965012221946253
부족,0.019207186863279616,0.008587005392221849,0.0078049614305384105,0.0075378472943010595,0.010620181471057767,-0.010620181471057767,-0.011402225432741206,-0.011669339568978556
지역,0.03816008313826042,0.027668544608434348,0.020202199719607114,0.0230751991212451,0.010491538529826074,-0.010491538529826074,-0.017957883418653307,-0.015084884017015323
확대,0.02153384738034426,0.011560906026219451,0.007404068629957182,0.0073101434154345165,0.00997294135412481,-0.00997294135412481,-0.01412977875038708,-0.014223703964909745
반대,0.01884029690170364,0.009253595606060346,0.006492885331390288,0.007510704045754121,0.009586701295643292,-0.009586701295643292,-0.012347411570313351,-0.011329592855949517
발표,0.02172712217743953,0.012530139917059495,0.008213553091637219,0.01087436866777854,0.009196982260380035,-0.009196982260380035,-0.013513569085802311,-0.01085275350966099
사직서,0.011795137119497449,0.0028325518520979373,0.0013717485180732496,0.000272200828677184,0.00896258526739951,-0.00896258526739951,-0.010423388601424199,-0.011522936290820265
국민,0.0310185753738797,0.02242436560330305,0.02021510053557733,0.012569816310651136,0.00859420977057665,-0.00859420977057665,-0.010803474838302372,-0.018448759063228563
면허,0.013151254352105785,0.0046575676865713055,0.004099080181318006,0.0037651155194283886,0.008493686665534479,-0.008493686665534479,-0.00905217417078778,-0.009386138832677396
배정,0.013835886519859621,0.0058158864585100105,0.0032095091290119246,0.0010114509869307235,0.00802000006134961,-0.00802000006134961,-0.010626377390847697,-0.012824435532928898
인력,0.014373041996629522,0.006429387373406299,0.0051880469225557705,0.004755867600879171,0.007943654623223223,-0.007943654623223223,-0.009184995074073752,-0.009617174395750352
정책,0.023070676882302087,0.01515390624804748,0.012493284939254603,0.013236963732660662,0.007916770634254607,-0.007916770634254607,-0.010577391943047484,-0.009833713149641425
복지부,0.014925063449347237,0.007027296331106326,0.0042618630991041045,0.006200808343159226,0.00789776711824091,-0.00789776711824091,-0.010663200350243133,-0.00872425510618801
수가,0.012580565686887474,0.005298715557895763,0.004604047642669126,0.003681681849747849,0.007281850128991711,-0.007281850128991711,-0.007976518044218348,-0.008898883837139625
집단,0.018167956388633725,0.010969063955433992,0.005762153943646138,0.005983437608690199,0.007198892433199733,-0.007198892433199733,-0.012405802444987587,-0.012184518779943525
사직,0.013330432251245463,0.005323326108546309,0.006175100533182232,0.0032658568611950464,0.007155331718063231,-0.008007106142699155,-0.007155331718063231,-0.010064575390050417
반발,0.011624247231789646,0.004535565337439771,0.003335154583855159,0.004033176954772951,0.007088681894349875,-0.007088681894349875,-0.008289092647934487,-0.007591070277016694
규모,0.016021469247808232,0.009101809917377196,0.005776976874434927,0.005794356155145502,0.006919659330431037,-0.006919659330431037,-0.010244492373373305,-0.010227113092662731
보험,0.013366993094477597,0.006447850382653071,0.006025983218921882,0.005889547129682108,0.006919142711824525,-0.006919142711824525,-0.007341009875555715,-0.007477445964795488
소아과,0.00965758931845373,0.0028440199702819955,0.0016129653635496754,0.0017144882538708303,0.006813569348171735,-0.006813569348171735,-0.008044623954904054,-0.007943101064582899
집단행동,0.008915408158167387,0.0021934141847578426,0.0008606962900477699,0.0005689537751348486,0.006721993973409545,-0.006721993973409545,-0.008054711868119617,-0.008346454383032538
수술,0.013872451586277043,0.007436963339057024,0.007761346385149639,0.00479115884858936,0.006111105201127404,-0.006435488247220019,-0.006111105201127404,-0.009081292737687683
급여,0.009329524538529203,0.003506641587778243,0.003069796674292478,0.0035687568628504415,0.005760767675678761,-0.0058228829507509594,-0.006259727864236725,-0.005760767675678761
나라,0.015777188781341885,0.009783253774702553,0.0096192098461474,0.010033338940035219,0.0057438498413066655,-0.005993935006639332,-0.006157978935194484,-0.0057438498413066655
근무,0.010027314864332464,0.004286571470494037,0.003457082059710931,0.002901112712636672,0.005740743393838427,-0.005740743393838427,-0.006570232804621533,-0.007126202151695792
해결,0.015266151116584597,0.009533593611048025,0.008537237968459694,0.008584639460557281,0.005732557505536572,-0.005732557505536572,-0.0067289131481249025,-0.006681511656027315
미용,0.008033352550501426,0.002351431858664826,0.002328702994966557,0.0023460622621034252,0.0056819206918366,-0.0056819206918366,-0.005704649555534869,-0.005687290288398001
수요,0.01009615968030271,0.004502671697845868,0.003655519697497816,0.003557851758268871,0.005593487982456843,-0.005593487982456843,-0.0064406399828048945,-0.006538307922033839
행동,0.011084541211713955,0.005600617745264997,0.0028468179459209203,0.0031568195534057543,0.005483923466448958,-0.005483923466448958,-0.008237723265793036,-0.007927721658308202
기피,0.008052649788711612,0.001594250307780159,0.001963186624151459,0.002896891208907251,0.005155758579804361,-0.006458399480931453,-0.0060894631645601535,-0.005155758579804361
서울,0.01895972513348229,0.013827975802066522,0.012599010981561352,0.011853889334761092,0.0051317493314157695,-0.0051317493314157695,-0.006360714151920939,-0.0071058357987212
업무,0.00849052639136965,0.0032690280415117734,0.003367107305629033,0.0016428596049454934,0.005123419085740617,-0.005221498349857877,-0.005123419085740617,-0.006847666786424157
밥그릇,0.007893752798726264,0.0028180714282274593,0.0019515415724819564,0.002071190076188879,0.0050756813704988055,-0.0050756813704988055,-0.005942211226244308,-0.005822562722537386
의과,0.015441271903167747,0.0104617945500466,0.006830734381251124,0.007236349049267633,0.004979477353121146,-0.004979477353121146,-0.008610537521916622,-0.008204922853900114
직업,0.009720790510546721,0.004828827751453922,0.004129934332248833,0.0038746048689593435,0.0048919627590928,-0.0048919627590928,-0.0055908561782978886,-0.005846185641587377
대응,0.008729258613820593,0.004063706760251454,0.003279701979964442,0.0037020374180915176,0.004665551853569139,-0.004665551853569139,-0.005449556633856151,-0.005027221195729075
현장,0.01026199544966031,0.005799371289636991,0.005436993672496745,0.0034172298437544556,0.004462624160023319,-0.004462624160023319,-0.004825001777163565,-0.006844765605905854
일반인,0.005291584509915528,0.000835545467015746,0.0010766671916595048,0.0009780028233253592,0.004214917318256023,-0.004456039042899783,-0.004214917318256023,-0.004313581686590169
단체,0.011122268263348617,0.006979246355074083,0.004373221300308622,0.0036939317632649527,0.004143021908274534,-0.004143021908274534,-0.006749046963039995,-0.007428336500083664
보건,0.013068056183859176,0.008932158519763698,0.005991476837431497,0.005096584079791293,0.004135897664095478,-0.004135897664095478,-0.007076579346427679,-0.007971472104067883
교수,0.028303089392865424,0.024174670867572617,0.014762923294263338,0.009725759700073909,0.0041284185252928075,-0.0041284185252928075,-0.013540166098602086,-0.018577329692791515
패키지,0.007311499951921902,0.003236037581858105,0.0011831883315892282,0.0030496961864912788,0.0040754623700637975,-0.0040754623700637975,-0.006128311620332674,-0.004261803765430623
방안,0.007963620818332356,0.0039234507651318366,0.0038877170679303993,0.0031073296958659393,0.0040401700532005196,-0.0040401700532005196,-0.004075903750401956,-0.004856291122466417
건강,0.012911037687810593,0.008872736010979215,0.008830727551513266,0.005681243186612477,0.0040383016768313785,-0.0040383016768313785,-0.004080310136297328,-0.007229794501198116
서비스,0.009471982976193366,0.0054872034073974105,0.004241386882904083,0.0024091838671392403,0.003984779568795956,-0.003984779568795956,-0.005230596093289283,-0.007062799109054126
인구,0.010285404564262789,0.006332312360839872,0.004238002293421616,0.0036518096169280943,0.003953092203422917,-0.003953092203422917,-0.006047402270841173,-0.006633594947334695
의료비,0.005937887996292621,0.002003083411765893,0.002022809788230813,0.0015691783179166631,0.003915078208061808,-0.0039348045845267274,-0.003915078208061808,-0.004368709678375958
찬성,0.010243442504920725,0.006384019217698981,0.003778329597650111,0.0027652312832332385,0.0038594232872217445,-0.0038594232872217445,-0.006465112907270615,-0.007478211221687486
지금,0.01256354003854229,0.008119381700414091,0.00870877202029312,0.0076399786928920965,0.003854768018249171,-0.004444158338128199,-0.003854768018249171,-0.004923561345650194
변호사,0.0076836221883134865,0.0039043392289408317,0.003423498383061935,0.002134657490368373,0.003779282959372655,-0.003779282959372655,-0.004260123805251551,-0.005548964697945113
체계,0.008347392795957566,0.004350481157754559,0.004616481400477772,0.0029442114694147154,0.003730911395479794,-0.003996911638203007,-0.003730911395479794,-0.00540318132654285
당직,0.005228669455534443,0.001513370934795554,0.0009209896164030457,0.000511558493326076,0.0037152985207388883,-0.0037152985207388883,-0.004307679839131397,-0.004717110962208367
