keyword,count
국회,1211
학습,1186
치료,1136
간호사,1111
최고,1076
투자,1074
발생,1071
시스템,1057
평균,1055
미래,1052
사태,1033
주요,1033
제공,1028
추천,1011
의학,1010
응급,1007
아이,996
원서,987
다양,985
한동훈,976
기회,975
학부모,974
기록,974
재수,972
졸업,970
공공,965
접수,961
하락,961
마음,958
기관,939
활동,927
제도,927
조사,919
주장,918
전문의,914
고민,907
사업,907
현장,905
적용,902
해당,899
컨설팅,883
능력,881
약대,878
자유,878
사직,870
중국,870
대책,861
전망,859
생명,857
부동산,854
우려,852
자신,852
사항,850
반도체,849
이용,842
요구,842
자연,834
예정,833
책임,833
환경,820
다음,818
국어,815
기술,809
일정,808
학종,806
기대,799
유지,799
목표,798
기간,796
단계,794
질문,793
갈등,792
국내,785
진로,785
고려,784
거부,782
추석,782
네이버,779
지난해,774
영역,774
지지,773
최대,772
상담,771
지원자,770
개선,769
이슈,761
서비스,758
연구,748
피해,747
민주당,746
지속,745
전기,740
수련,728
작성,727
제한,726
금리,725
안정,721
효과,716
대상,716
강화,714
