n_topics,perplexity,umass_coherence,selected
2,2967.6992529496993,-0.8302270433703351,False
3,2695.218969272631,-0.8305916998473831,False
4,2550.5059922997957,-0.8997737819397968,False
5,2503.7830103614697,-0.9934413508468403,True
6,2480.241076726763,-0.9315490529597698,False
7,2429.419761850973,-1.0347167120358802,False
8,2443.5305040665835,-1.1437139042728433,False
