,section_1_mean_tfidf,section_2_mean_tfidf,section_3_mean_tfidf,section_4_mean_tfidf,diff_vs_others_max_s1,diff_vs_others_max_s2,diff_vs_others_max_s3,diff_vs_others_max_s4
휴진,0.0015128913222271542,0.021649022958329156,0.0014259799881549344,0.0001025868715112807,-0.020136131636102002,0.020136131636102002,-0.020223042970174222,-0.021546436086817874
법원,0.001789668912896257,0.015764495209504223,0.00215429262424034,0.00308199333526968,-0.013974826296607967,0.012682501874234543,-0.013610202585263883,-0.012682501874234543
집행,0.00198824847559094,0.010708799528788263,0.0013514827620266514,0.0007669070812278926,-0.008720551053197323,0.008720551053197323,-0.009357316766761612,-0.00994189244756037
확정,0.0068549596182685395,0.01637230157341572,0.003612235313278565,0.008304427017094272,-0.00951734195514718,0.008067874556321448,-0.012760066260137155,-0.008067874556321448
기각,0.00021609209426641786,0.008388435827085044,0.0008815287269441932,0.0010435709338230412,-0.008172343732818626,0.007344864893262003,-0.007506907100140851,-0.007344864893262003
항고,1.5735994996541845e-05,0.00561153975243672,0.00019498768278906217,0.000286702910671927,-0.005595803757440178,0.005324836841764793,-0.005416552069647658,-0.005324836841764793
정지,0.006314278460282586,0.01157798453610207,0.0036649281305949923,0.002923402641527985,-0.005263706075819484,0.005263706075819484,-0.007913056405507077,-0.008654581894574085
결정,0.009028574804458445,0.01507318514642076,0.0068492115456376965,0.010280156530708308,-0.006044610341962315,0.004793028615712453,-0.008223973600783065,-0.004793028615712453
대교협,0.0004974326202258855,0.005766989667324757,0.0005169477258148867,0.001232959858361822,-0.005269557047098872,0.004534029808962935,-0.0052500419415098705,-0.004534029808962935
천공,0.0011287407211494065,0.005501353055599295,0.001089696294911561,0.00034681492255238375,-0.0043726123344498885,0.0043726123344498885,-0.004411656760687734,-0.005154538133046911
회의록,2.3557978003483688e-05,0.006045191192631764,0.0017235780842093631,0.00010168954961731517,-0.006021633214628281,0.004321613108422401,-0.004321613108422401,-0.0059435016430144485
전형,0.019609287578928304,0.03222682680127362,0.027853991820022787,0.027968553759514656,-0.012617539222345313,0.004258273041758961,-0.00437283498125083,-0.004258273041758961
각하,0.00022378889856539938,0.005884471248821716,0.0002631067472436405,0.0016993542949622917,-0.005660682350256317,0.004185116953859425,-0.005621364501578076,-0.004185116953859425
재판부,0.0003160929940994484,0.004462441481399104,0.00019922874454351378,0.0004067124333822038,-0.004146348487299656,0.0040557290480169005,-0.00426321273685559,-0.0040557290480169005
대통령,0.013870844959560305,0.01878085101283851,0.01477549559108639,0.011494098067699843,-0.0049100060532782045,0.00400535542175212,-0.00400535542175212,-0.007286752945138666
선발,0.008611408831453156,0.014143786487129014,0.010280591412136868,0.009274776642249133,-0.005532377655675859,0.003863195074992146,-0.003863195074992146,-0.004869009844879882
요강,0.0016966988476225795,0.00824962587972273,0.004274115527370553,0.004465987848463656,-0.006552927032100151,0.003783638031259074,-0.003975510352352178,-0.003783638031259074
검토,0.00451871294643238,0.008221671984070438,0.004355836456363798,0.0032336716514093406,-0.003702959037638058,0.003702959037638058,-0.0038658355277066394,-0.004988000332661098
전공,0.01249064171744151,0.016697255940306393,0.013127050602113121,0.008750219705678963,-0.004206614222864884,0.003570205338193272,-0.003570205338193272,-0.00794703623462743
처분,0.003931309862442278,0.007121253324796726,0.0028068562542875835,0.0024083409646471978,-0.003189943462354448,0.003189943462354448,-0.004314397070509143,-0.004712912360149528
근거,0.007117140878865389,0.010278856004979492,0.005119116323743804,0.003933150209913821,-0.0031617151261141025,0.0031617151261141025,-0.005159739681235688,-0.0063457057950656705
자율,0.001284812414146842,0.00712172452598188,0.00405416754250206,0.0035339745556450925,-0.005836912111835037,0.00306755698347982,-0.00306755698347982,-0.0035877499703367874
시행,0.0045727352690127605,0.0076004454472807514,0.003603316514432942,0.003228203426386204,-0.003027710178267991,0.003027710178267991,-0.003997128932847809,-0.0043722420208945475
학원,0.011505539366554731,0.0185054157343268,0.015478767680410862,0.011942300451690523,-0.00699987636777207,0.0030266480539159393,-0.0030266480539159393,-0.0065631152826362785
담화,0.0009644108431448636,0.003868659474869376,0.0002600915180529355,8.82921873040501e-05,-0.0029042486317245124,0.0029042486317245124,-0.0036085679568164403,-0.003780367287565326
서울고법,5.2147488143038144e-05,0.002995613004892445,9.913887106729926e-05,4.4919175994506533e-05,-0.0029434655167494064,0.0028964741338251454,-0.0028964741338251454,-0.0029506938288979385
재생,0.00614699582329785,0.0089589589902249,0.005744118872922301,0.0024584613583840346,-0.00281196316692705,0.00281196316692705,-0.003214840117302599,-0.006500497631840865
판결,0.001665994084376758,0.004274438799220381,0.0009712725212396892,0.0014977884161570428,-0.0026084447148436232,0.0026084447148436232,-0.003303166277980692,-0.0027766503830633383
기한,0.0013533345314741168,0.003930420279406248,0.0010780189764615926,0.0006126032831545403,-0.002577085747932131,0.002577085747932131,-0.002852401302944655,-0.0033178169962517073
포스팅,0.009214760777325241,0.011750883447293834,0.007957412934322122,0.002843881767708428,-0.002536122669968593,0.002536122669968593,-0.003793470512971712,-0.008907001679585407
한국대학교육협의회,0.00027988784986891064,0.002793678591288963,0.00032770188526299216,0.0001564121103303162,-0.002513790741420052,0.002465976706025971,-0.002465976706025971,-0.0026372664809586467
투표,0.003996468791694878,0.006404761626380035,0.0020589063263116232,0.003757263524312207,-0.002408292834685157,0.002408292834685157,-0.004345855300068412,-0.0026474981020678276
과학,0.006004912868680041,0.010332879918273917,0.008098280964974388,0.006978454671314189,-0.004327967049593875,0.0022345989532995287,-0.0022345989532995287,-0.0033544252469597273
진학,0.007430445850066001,0.009915752593759018,0.007272913988025852,0.0076952793688413665,-0.0024853067436930165,0.002220473224917651,-0.0026428386057331657,-0.002220473224917651
공공복리,9.282805968508726e-06,0.002418835109523774,0.00022785922782466507,7.136842874831255e-05,-0.0024095523035552653,0.002190975881699109,-0.002190975881699109,-0.0023474666807754615
서울고등법원,0.0,0.0022558608355498846,7.858615157111705e-05,4.22652546035148e-05,-0.0022558608355498846,0.0021772746839787676,-0.0021772746839787676,-0.0022135955809463696
하루,0.010454043327703702,0.012614492734038026,0.008509161442004497,0.00538332504527021,-0.002160449406334324,0.002160449406334324,-0.0041053312920335296,-0.007231167688767816
참패,0.00040914427260258944,0.0026637496411076383,0.0005294487287951505,0.0005062569552385132,-0.0022546053685050488,0.0021343009123124877,-0.0021343009123124877,-0.002157492685869125
위원회,0.0047141893053545885,0.0073738351405985055,0.005293229382286769,0.0034113038974262905,-0.002659645835243917,0.0020806057583117364,-0.0020806057583117364,-0.003962531243172215
부결,0.000148139109822347,0.0022473372770326957,0.00024208764383618065,5.7833103489497794e-05,-0.002099198167210349,0.002005249633196515,-0.002005249633196515,-0.0021895041735431977
자녀,0.0032768007814739882,0.0053623695700030834,0.0033633219173315656,0.0027933019784270752,-0.002085568788529095,0.001999047652671518,-0.001999047652671518,-0.002569067591576008
승인,0.0016103284119909184,0.004856226400358684,0.0028806770489898698,0.0014250594699094185,-0.0032458979883677654,0.001975549351368814,-0.001975549351368814,-0.003431166930449265
사법부,0.00032955361683514,0.0025374044242379265,0.0004411145892713973,0.000595747382857291,-0.0022078508074027865,0.0019416570413806355,-0.0020962898349665294,-0.0019416570413806355
심의,0.0016035410042989267,0.0034628258527582816,0.0011730792716823125,0.0009699392117556073,-0.001859284848459355,0.001859284848459355,-0.002289746581075969,-0.0024928866410026743
효력,0.0005597081476583232,0.0023902450713112924,0.0006354450147000127,0.00019751086375629568,-0.0018305369236529692,0.0017548000566112798,-0.0017548000566112798,-0.0021927342075549966
석유,0.0003404058264407762,0.0021990614828860124,0.0004628303776716113,0.0004541691611489001,-0.0018586556564452361,0.0017362311052144012,-0.0017362311052144012,-0.0017448923217371123
전면,0.002042506848132674,0.003755912621312733,0.0016676181165205788,0.00126675391167859,-0.0017134057731800593,0.0017134057731800593,-0.0020882945047921543,-0.002489158709634143
절차,0.003506925810360626,0.0052068983995367845,0.002275185961232806,0.001533362478291359,-0.0016999725891761585,0.0016999725891761585,-0.0029317124383039786,-0.0036735359212454258
행정,0.0041563721501379994,0.005849844544020688,0.003215570169373979,0.0015894480483350662,-0.0016934723938826883,0.0016934723938826883,-0.002634274374646709,-0.0042603964956856215
개정,0.0018846238601876832,0.0040522659535380465,0.001645721525872657,0.0023601539038082143,-0.002167642093350363,0.0016921120497298322,-0.0024065444276653893,-0.0016921120497298322
판사,0.0012375088285702424,0.0030875592466144846,0.0007737464547457456,0.0013975588610802934,-0.0018500504180442422,0.0016900003855341913,-0.002313812791868739,-0.0016900003855341913
회장,0.006172798350200528,0.007861292229098852,0.0038126872402091286,0.0021522200090319317,-0.001688493878898324,0.001688493878898324,-0.004048604988889723,-0.00570907222006692
인용,0.00106474497447912,0.002730579202363066,0.0005687328237913111,0.000987848476739515,-0.0016658342278839458,0.0016658342278839458,-0.002161846378571755,-0.0017427307256235509
판단,0.004620983089398439,0.006861992792253263,0.004628814816649062,0.0052102922310639215,-0.0022410097028548242,0.0016517005611893414,-0.002233177975604201,-0.0016517005611893414
