,section_1_mean_tfidf,section_2_mean_tfidf,section_3_mean_tfidf,section_4_mean_tfidf,diff_vs_others_max_s1,diff_vs_others_max_s2,diff_vs_others_max_s3,diff_vs_others_max_s4
수시,0.007833825357276437,0.015972406182592092,0.03131696993203885,0.019846788091698712,-0.023483144574762412,-0.015344563749446757,0.011470181840340137,-0.011470181840340137
수능,0.017325647397889256,0.02131586853793607,0.03650178396646615,0.02565965826946447,-0.019176136568576897,-0.015185915428530084,0.010842125697001683,-0.010842125697001683
경쟁,0.0,0.008444400147455275,0.02261290125426213,0.01248862386352525,-0.02261290125426213,-0.014168501106806855,0.01012427739073688,-0.01012427739073688
추석,9.500805161074291e-05,4.582579321706416e-05,0.007044764616175449,8.614193921131223e-05,-0.006949756564564705,-0.006998938822958384,0.006949756564564705,-0.006958622676964136
응급실,0.00834010104684431,0.0032495860532255273,0.015238926895826989,0.002336915262352369,-0.006898825848982678,-0.011989340842601462,0.006898825848982678,-0.01290201163347462
지원,0.016531768581130167,0.01466185833009012,0.023647312532321687,0.016947658733800768,-0.00711554395119152,-0.008985454202231567,0.006699653798520919,-0.006699653798520919
접수,0.001863016563429135,0.002925572300672512,0.009424493042222705,0.0023088208197551583,-0.00756147647879357,-0.006498920741550193,0.006498920741550193,-0.007115672222467547
논술,0.00347188680750722,0.008453567765303517,0.014499368915163062,0.006258465945914087,-0.011027482107655842,-0.006045801149859545,0.006045801149859545,-0.008240902969248974
최저,0.008227830341282702,0.01211533749318916,0.017988208157822216,0.010976171108829787,-0.009760377816539514,-0.005872870664633056,0.005872870664633056,-0.007012037048992429
평원,0.0007172310842851965,0.0011827638388746506,0.008661824565731063,0.0031623594338269874,-0.007944593481445866,-0.007479060726856413,0.005499465131904076,-0.005499465131904076
원서,0.001284167036677466,0.002694337180234421,0.010775427072615805,0.0054669067791771764,-0.009491260035938339,-0.008081089892381384,0.005308520293438628,-0.005308520293438628
시험,0.0056529424082663125,0.007828810205260574,0.013000432236878922,0.007773438219766003,-0.0073474898286126095,-0.0051716220316183475,0.0051716220316183475,-0.005226994017112919
종합,0.0,0.0,0.012838178090535828,0.008020649590388429,-0.012838178090535828,-0.012838178090535828,0.004817528500147399,-0.004817528500147399
면접,0.0029950046919046624,0.007322738253983215,0.013703250165776542,0.009055840156695881,-0.01070824547387188,-0.006380511911793327,0.004647410009080661,-0.004647410009080661
평가,0.006543639856799758,0.010114854373083224,0.014760442137048095,0.009769997613306476,-0.008216802280248337,-0.004645587763964872,0.004645587763964872,-0.00499044452374162
내년,0.005493157508832529,0.00698611321234519,0.012551414329130647,0.008291725174208972,-0.007058256820298117,-0.005565301116785457,0.004259689154921675,-0.004259689154921675
교육,0.01821685738036686,0.01609590793476525,0.02241385095136895,0.016306307593605764,-0.004196993571002092,-0.0063179430166037005,0.004196993571002092,-0.006107543357763187
기관,0.0,0.0,0.007458332321248167,0.0036107790591567,-0.007458332321248167,-0.007458332321248167,0.0038475532620914667,-0.0038475532620914667
한동훈,0.00444905644906873,0.0033011053050742527,0.00777911299896347,0.0036800566294779833,-0.0033300565498947396,-0.004478007693889217,0.0033300565498947396,-0.004099056369485486
의원,0.007235757790330058,0.007921762034647188,0.010862287271315855,0.005480953477485711,-0.003626529480985797,-0.0029405252366686667,0.0029405252366686667,-0.005381333793830144
영어,0.005231549291236317,0.008846745790949158,0.011770873456713554,0.006490421917642943,-0.006539324165477237,-0.0029241276657643953,0.0029241276657643953,-0.0052804515390706104
학습,0.0032344451361853628,0.006122972970558553,0.008988790150863504,0.0034437565021521563,-0.005754345014678142,-0.002865817180304951,0.002865817180304951,-0.005545033648711348
청문회,9.345026554359789e-05,0.0023030476153603255,0.005130079939008503,0.0006296102880715686,-0.005036629673464905,-0.0028270323236481774,0.0028270323236481774,-0.0045004696509369346
예비,0.001682834881941488,0.0016296232621129088,0.007582137200131563,0.0048160931823030976,-0.005899302318190075,-0.0059525139380186545,0.0027660440178284658,-0.0027660440178284658
상향,0.0015355489974770624,0.0016367831810621622,0.004801357911819439,0.002111813962171022,-0.0032658089143423772,-0.0031645747307572775,0.0026895439496484176,-0.0026895439496484176
국회,0.003455003702260255,0.006218100661469842,0.008667832977695902,0.004789981740314218,-0.005212829275435647,-0.0024497323162260597,0.0024497323162260597,-0.0038778512373816836
여야,0.0019534607496618224,0.001567946456590135,0.004374740319185448,0.0010393606991519256,-0.002421279569523626,-0.002806793862595313,0.002421279569523626,-0.0033353796200335226
주의,0.001415394206458799,0.0030162471197999995,0.005322128865438513,0.0025763970864889785,-0.003906734658979714,-0.0023058817456385137,0.0023058817456385137,-0.0027457317789495346
능력,0.004555940142923206,0.0,0.00673921331751698,0.004212814545648147,-0.002183273174593774,-0.00673921331751698,0.002183273174593774,-0.0025263987718688328
대표,0.010468130235199451,0.0,0.012606157808487058,0.008060863942924589,-0.0021380275732876073,-0.012606157808487058,0.0021380275732876073,-0.0045452938655624695
출제,0.0009332848972043548,0.0034114825842182783,0.00554377023991466,0.0018027541443838152,-0.0046104853427103056,-0.002132287655696382,0.002132287655696382,-0.003741016095530845
저작,0.0005952972673560649,0.0020657718183142424,0.005855539422010741,0.0037371330841595995,-0.005260242154654676,-0.003789767603696499,0.002118406337851142,-0.002118406337851142
난이도,0.001230395999304534,0.002415653567267029,0.00477441483946114,0.0027740794281020027,-0.0035440188401566057,-0.0023587612721941106,0.002000335411359137,-0.002000335411359137
간호,0.004174209619814785,0.003034671198049095,0.006208699571648733,0.004212441702438605,-0.002034489951833948,-0.0031740283735996384,0.0019962578692101288,-0.0019962578692101288
김건,0.0014110253706419843,0.0021799563175076957,0.004132628838411941,0.0014279859098803882,-0.0027216034677699564,-0.001952672520904245,0.001952672520904245,-0.0027046429285315526
등급,0.008266471045613207,0.014089304307428496,0.02048972427426166,0.018556272820424668,-0.012223253228648452,-0.006400419966833163,0.0019334514538369915,-0.0019334514538369915
해리스,8.613421730426406e-06,3.369648917210026e-05,0.0019000195095643555,3.6677655971866284e-05,-0.0018914060878339291,-0.0018663230203922552,0.0018633418535924891,-0.0018633418535924891
지원자,0.0022729284759363242,0.002710571699647295,0.00747059092206596,0.005608932654494219,-0.005197662446129635,-0.004760019222418665,0.0018616582675717412,-0.0018616582675717412
선행,0.0011801261724809708,0.0011214084461349458,0.002946118916968038,0.0011053411601799105,-0.0017659927444870673,-0.0018247104708330924,0.0017659927444870673,-0.0018407777567881276
응시,0.0018095645046069051,0.0036441911748797723,0.006040926730451231,0.004279232510903999,-0.004231362225844326,-0.0023967355555714587,0.0017616942195472322,-0.0017616942195472322
독대,5.0826542211194676e-05,6.377132804678582e-05,0.0018321866224339344,8.399154634389519e-05,-0.0017813600802227398,-0.0017684152943871485,0.0017481950760900393,-0.0017481950760900393
청원,0.0003017321274516693,0.00048591658514864837,0.0031195022381733453,0.0013943076187904746,-0.002817770110721676,-0.0026335856530246967,0.0017251946193828707,-0.0017251946193828707
제시,1.5832258745343304e-05,0.0,0.005364865192150973,0.0036849470628128587,-0.00534903293340563,-0.005364865192150973,0.0016799181293381143,-0.0016799181293381143
협의체,0.0028552801336300376,0.0022141349478399866,0.004528434951770302,0.0005326050935260758,-0.0016731548181402644,-0.0023143000039303153,0.0016731548181402644,-0.003995829858244226
일정,0.004117270791486672,0.0,0.005769634836023309,0.003606303182316985,-0.0016523640445366364,-0.005769634836023309,0.0016523640445366364,-0.002163331653706324
평가원,0.0007826000002721205,0.001851773270305957,0.003490911403286172,0.001286418893538221,-0.0027083114030140515,-0.001639138132980215,0.001639138132980215,-0.002204492509747951
하반기,0.0005950042084630426,0.001302113967802446,0.002926432316482862,0.000606507367425467,-0.0023314281080198196,-0.0016243183486804162,0.0016243183486804162,-0.0023199249490573953
여사,0.001515890868486593,0.0016243626146017257,0.003236971763168188,0.0004773685477667599,-0.001721080894681595,-0.0016126091485664622,0.0016126091485664622,-0.002759603215401428
올림픽,0.00031651702349798355,0.00043788266921582507,0.002027512501242784,0.0002862834337627765,-0.0017109954777448002,-0.0015896298320269588,0.0015896298320269588,-0.0017412290674800072
악의,7.224776892282738e-05,0.0002477374183535505,0.0025778830578730054,0.0010220912803848416,-0.002505635288950178,-0.002330145639519455,0.0015557917774881639,-0.0015557917774881639
