,section_1_mean_tfidf,section_2_mean_tfidf,section_3_mean_tfidf,section_4_mean_tfidf,diff_vs_others_max_s1,diff_vs_others_max_s2,diff_vs_others_max_s3,diff_vs_others_max_s4
정원,0.05227690123258905,0.02878585221358503,0.0192905352208189,0.02779858094556306,0.023491049019004024,-0.023491049019004024,-0.03298636601177016,-0.02447832028702599
파업,0.025093678949020485,0.00796441542674597,0.006396384904339015,0.003930022088103664,0.017129263522274514,-0.017129263522274514,-0.01869729404468147,-0.02116365686091682
전공의,0.03708055217469925,0.020421105144901024,0.02014883060750197,0.011671637278452248,0.016659447029798227,-0.016659447029798227,-0.016931721567197282,-0.025408914896247005
소아,0.01759909608896401,0.001615827619150062,0.0018524935183749014,0.0008054559243097731,0.01574660257058911,-0.01598326846981395,-0.01574660257058911,-0.016793640164654237
지방,0.029063783605236954,0.013758015757749443,0.011328949826454543,0.01034071225761591,0.01530576784748751,-0.01530576784748751,-0.017734833778782412,-0.018723071347621044
정부,0.05546293735988382,0.04031524899556372,0.028938581020629857,0.022623714525999976,0.015147688364320101,-0.015147688364320101,-0.026524356339253964,-0.032839222833883845
진료,0.029264225959046257,0.014124068423888376,0.011251186967482079,0.008002835165347864,0.015140157535157881,-0.015140157535157881,-0.01801303899156418,-0.021261390793698393
필수,0.02719374805843769,0.0121935380667652,0.011029005445624077,0.010282630512427551,0.01500020999167249,-0.01500020999167249,-0.01616474261281361,-0.016911117546010136
청소년과,0.015528947667634574,0.0007566969972367214,0.0006846630387247784,0.00036911256976108,0.014772250670397852,-0.014772250670397852,-0.014844284628909795,-0.015159835097873494
환자,0.03157619235187599,0.019796953991198005,0.01561735237859535,0.01039591730728731,0.011779238360677985,-0.011779238360677985,-0.01595883997328064,-0.02118027504458868
지역,0.03946289912308455,0.027968817371973785,0.020383617146770363,0.023324839668924607,0.011494081751110767,-0.011494081751110767,-0.01907928197631419,-0.016138059454159945
부족,0.019852702331962575,0.00884258820617719,0.008054418470802495,0.007809328551800945,0.011010114125785385,-0.011010114125785385,-0.01179828386116008,-0.01204337378016163
수도,0.02186308893315684,0.010986890027138891,0.008183232927008382,0.006755692979320823,0.010876198906017948,-0.010876198906017948,-0.013679856006148457,-0.015107395953836016
확대,0.022351693891872044,0.011816516507660538,0.007664237922118166,0.007823553056301832,0.010535177384211506,-0.010535177384211506,-0.014687455969753878,-0.014528140835570212
반대,0.019249602435489423,0.009406244768474506,0.006678472406535487,0.007632378137494937,0.009843357667014918,-0.009843357667014918,-0.012571130028953936,-0.011617224297994486
발표,0.02219595581398488,0.012797225676203583,0.008430077024127569,0.011013133944556825,0.009398730137781296,-0.009398730137781296,-0.01376587878985731,-0.011182821869428055
사직서,0.012223059174869726,0.003051321946070609,0.0016186730994306783,0.0002814625756028107,0.009171737228799118,-0.009171737228799118,-0.010604386075439048,-0.011941596599266916
국민,0.03239962553997603,0.023265713614599875,0.02104706318154129,0.012976690074669062,0.009133911925376156,-0.009133911925376156,-0.01135256235843474,-0.01942293546530697
면허,0.01339582553347303,0.004774854803985028,0.004297894465087956,0.0038874691947390124,0.008620970729488002,-0.008620970729488002,-0.009097931068385074,-0.009508356338734017
정책,0.024168598555308517,0.015674099653662472,0.01308870790571765,0.013825175228770505,0.008494498901646046,-0.008494498901646046,-0.011079890649590867,-0.010343423326538013
복지부,0.015640157948189664,0.007385217838737404,0.0049340089435167215,0.0066450351742313426,0.00825494010945226,-0.00825494010945226,-0.010706149004672942,-0.008995122773958322
인력,0.014890776378821231,0.00677436779692773,0.0055392849602200695,0.0050868370437726395,0.0081164085818935,-0.0081164085818935,-0.00935149141860116,-0.00980393933504859
배정,0.013877125589940259,0.00609790461718668,0.0032888506428552246,0.0010240132291700966,0.007779220972753579,-0.007779220972753579,-0.010588274947085034,-0.012853112360770162
수가,0.013102194772237128,0.005600728458253047,0.00505063502701931,0.004111278234600453,0.007501466313984081,-0.007501466313984081,-0.008051559745217818,-0.008990916537636675
보험,0.01391610400857135,0.006720565557959932,0.006504919320176987,0.006415013519749634,0.007195538450611418,-0.007195538450611418,-0.0074111846883943636,-0.007501090488821717
반발,0.011840732686806622,0.004654178348931198,0.003528769988247288,0.004430688496449219,0.007186554337875423,-0.007186554337875423,-0.008311962698559335,-0.007410044190357403
규모,0.01651493160362498,0.00935753068540489,0.005940204588922431,0.005929745338548108,0.00715740091822009,-0.00715740091822009,-0.010574727014702549,-0.010585186265076872
집단,0.01854304301897062,0.011509738725333198,0.005933713240443175,0.006071546207658244,0.007033304293637421,-0.007033304293637421,-0.012609329778527443,-0.012471496811312375
소아과,0.00994567429250539,0.0029169312238410345,0.0016673178759758934,0.0018633717180682604,0.007028743068664355,-0.007028743068664355,-0.008278356416529496,-0.00808230257443713
집단행동,0.00930003864616618,0.002424799084394093,0.0009785852238438871,0.0005748454749028556,0.006875239561772087,-0.006875239561772087,-0.008321453422322293,-0.008725193171263324
사직,0.0136536614383398,0.005522896417512333,0.007315065789546767,0.003458232041907956,0.006338595648793032,-0.008130765020827466,-0.006338595648793032,-0.010195429396431843
수술,0.014486423445195748,0.007759237811695923,0.008333114405711163,0.005256008993238371,0.006153309039484585,-0.006727185633499826,-0.006153309039484585,-0.009230414451957377
근무,0.010463130352647919,0.004427216265115222,0.003589314753731193,0.0030378871278714946,0.006035914087532697,-0.006035914087532697,-0.006873815598916725,-0.007425243224776425
해결,0.01567309409286992,0.009791823906369668,0.008824093955450925,0.00885960353442421,0.00588127018650025,-0.00588127018650025,-0.006849000137418994,-0.006813490558445708
나라,0.015922777058813262,0.009857238261018128,0.009703490576168107,0.010180829470316871,0.005741947588496391,-0.006065538797795134,-0.006219286482645156,-0.005741947588496391
수요,0.010345567088821419,0.00463607855008613,0.003753634337635539,0.0036340026834213147,0.0057094885387352886,-0.0057094885387352886,-0.00659193275118588,-0.006711564405400104
급여,0.00984207637330192,0.0037149420077616023,0.003456804793456038,0.004138361111711671,0.005703715261590249,-0.006127134365540318,-0.006385271579845883,-0.005703715261590249
미용,0.008205545694750491,0.0024507287048930026,0.0024122699298693992,0.0025332630879063896,0.005672282606844102,-0.005754816989857489,-0.005793275764881092,-0.005672282606844102
행동,0.011267191077393423,0.00566665056832919,0.0029159633952171317,0.0031317621009523343,0.005600540509064233,-0.005600540509064233,-0.00835122768217629,-0.008135428976441088
서울,0.01965463280053615,0.014208422577526882,0.012863399793549356,0.012033634255283343,0.005446210223009267,-0.005446210223009267,-0.006791233006986794,-0.007620998545252807
업무,0.008806258274652909,0.003453767386824542,0.003582527780568589,0.0018368193074507798,0.00522373049408432,-0.005352490887828367,-0.00522373049408432,-0.006969438967202129
밥그릇,0.008131161954871624,0.002932924895590727,0.0019999313677833623,0.002089573238441374,0.0051982370592808975,-0.0051982370592808975,-0.006131230587088261,-0.006041588716430251
기피,0.008145366934602234,0.00168071742675668,0.0020182343852888284,0.002998201043523637,0.005147165891078597,-0.006464649507845553,-0.006127132549313405,-0.005147165891078597
의과,0.015706763758557434,0.01067920464852304,0.006903752256277849,0.007426516470287593,0.005027559110034394,-0.005027559110034394,-0.008803011502279585,-0.008280247288269841
대응,0.009037342968320431,0.004216000368005965,0.0035589414089989883,0.003863946388270644,0.004821342600314466,-0.004821342600314466,-0.005478401559321442,-0.005173396580049787
직업,0.00973420941827154,0.004942809181326358,0.004173520836029262,0.003967645507489073,0.004791400236945182,-0.004791400236945182,-0.005560688582242277,-0.0057665639107824665
현장,0.01069346085806636,0.006011273637382071,0.0057537971060645935,0.00360727276837984,0.0046821872206842885,-0.0046821872206842885,-0.004939663752001766,-0.007086188089686519
보건,0.013804289095709263,0.0092838963536814,0.0065782996564525045,0.005720378115865993,0.004520392742027863,-0.004520392742027863,-0.007225989439256758,-0.008083910979843269
건강,0.01382126950154054,0.00926911727956299,0.009379880704505737,0.006350484877254719,0.004441388797034804,-0.004552152221977551,-0.004441388797034804,-0.007470784624285821
일반인,0.005485809435908104,0.0008604830298813,0.0010981759505459645,0.0009905240428774822,0.0043876334853621395,-0.004625326406026804,-0.0043876334853621395,-0.004495285393030622
패키지,0.007706777109888284,0.0033357579788948757,0.0012269936868934484,0.0032565098293540202,0.004371019130993408,-0.004371019130993408,-0.006479783422994836,-0.004450267280534263
단체,0.011547101789542148,0.007251886380279553,0.004681187667360084,0.003882437715211172,0.004295215409262594,-0.004295215409262594,-0.006865914122182064,-0.007664664074330975
서비스,0.00999180249740679,0.005781168809129301,0.004444031895349796,0.0026426576497709025,0.00421063368827749,-0.00421063368827749,-0.005547770602056994,-0.007349144847635888
방안,0.008267078222060173,0.00407023625592331,0.004096931598314686,0.003245213602865735,0.004170146623745487,-0.004196841966136863,-0.004170146623745487,-0.005021864619194438
인구,0.01070336757553187,0.006536927530910284,0.004373642669622382,0.003807310199052211,0.004166440044621586,-0.004166440044621586,-0.006329724905909488,-0.00689605737647966
교수,0.029382178610263026,0.02522929964756219,0.015940380178373858,0.010033457906381698,0.0041528789627008345,-0.0041528789627008345,-0.013441798431889168,-0.019348720703881328
의료비,0.006198975502147909,0.0020615396172497195,0.002131578027814827,0.0016971262209484414,0.004067397474333082,-0.0041374358848981895,-0.004067397474333082,-0.004501849281199468
지금,0.012889600641739496,0.008331044935076092,0.008854064743085354,0.007724453256085339,0.004035535898654142,-0.004558555706663404,-0.004035535898654142,-0.005165147385654157
체계,0.00892494562240668,0.004583324137555575,0.004965413859457217,0.003253992694930606,0.003959531762949463,-0.004341621484851105,-0.003959531762949463,-0.005670952927476074
추천서,0.004309851076816287,0.0001393907260279781,0.0004105214593523249,0.00020159448542045056,0.003899329617463962,-0.004170460350788309,-0.003899329617463962,-0.004108256591395836
찬성,0.010407093945039329,0.0065181794276105405,0.003843667502648551,0.002840394787690307,0.0038889145174287884,-0.0038889145174287884,-0.0065634264423907775,-0.007566699157349022
시장,0.011559806006175753,0.00772062580031173,0.0062103948471018714,0.004029080159202382,0.003839180205864023,-0.003839180205864023,-0.005349411159073882,-0.007530725846973371
변호사,0.0077804314086092905,0.003967086538854174,0.0035032990401672307,0.002141207689706929,0.0038133448697551166,-0.0038133448697551166,-0.004277132368442059,-0.005639223718902362
고령,0.006389222210916723,0.0025804515217595506,0.0024796824138154333,0.0020414740880653286,0.0038087706891571727,-0.0038087706891571727,-0.0039095397971012896,-0.004347748122851394
성형외과,0.004970923259952303,0.001033056511132858,0.0011836277991475455,0.000987960610588839,0.0037872954608047576,-0.003937866748819446,-0.0037872954608047576,-0.003982962649363464
당직,0.00536744443543645,0.0015910043887230377,0.000983424430822379,0.0005276328415146068,0.003776440046713412,-0.003776440046713412,-0.004384020004614071,-0.004839811593921843
개선,0.008746122820566575,0.0048634073362945115,0.005007280417518949,0.004170698563009898,0.0037388424030476257,-0.0038827154842720635,-0.0037388424030476257,-0.004575424257556677
소청,0.003893623360682803,7.572168704042827e-05,6.996304016344037e-05,0.00015594074101242403,0.0037376826196703792,-0.003817901673642375,-0.0038236603205193628,-0.0037376826196703792
확충,0.005483853847823326,0.0018470102695696702,0.0015539246836716967,0.0018159390926848374,0.0036368435782536557,-0.0036368435782536557,-0.003929929164151629,-0.0036679147551384886
피부과,0.006256548156592247,0.0017497735172555934,0.0026825266802137267,0.0022769529732268,0.00357402147637852,-0.004506774639336653,-0.00357402147637852,-0.003979595183365447
치료,0.010528026448373987,0.0062842968104856916,0.007009456398304002,0.005059220326979265,0.003518570050069985,-0.004243729637888295,-0.003518570050069985,-0.005468806121394721
전문의,0.010686253148151142,0.005670699578438029,0.0072534728939993975,0.005338107289704774,0.0034327802541517446,-0.005015553569713113,-0.0034327802541517446,-0.005348145858446368
의협,0.01589197540000547,0.012572541235360493,0.006687930643743929,0.007924500168310145,0.003319434164644976,-0.003319434164644976,-0.009204044756261541,-0.007967475231695324
여론,0.007319416899747762,0.0037614598177745898,0.004023343716530836,0.0031877778830058795,0.003296073183216926,-0.0035579570819731722,-0.003296073183216926,-0.0041316390167418825
국가,0.011826266591241337,0.008534918844799906,0.008465283967315006,0.006951925266625429,0.0032913477464414313,-0.0032913477464414313,-0.003360982623926331,-0.004874341324615909
협회,0.007655965522349281,0.00438416263825373,0.002831346712775457,0.0019591074211720376,0.003271802884095551,-0.003271802884095551,-0.004824618809573824,-0.005696858101177243
대책,0.009910505078442555,0.006649830644431751,0.006006547514517209,0.003349629798205857,0.0032606744340108037,-0.0032606744340108037,-0.0039039575639253452,-0.006560875280236697
이야기,0.01038030235189616,0.0071243490656728555,0.006472170561679615,0.006833477001944791,0.0032559532862233053,-0.0032559532862233053,-0.003908131790216545,-0.00354682534995137
인기,0.006971233748917942,0.0037156830927721107,0.0034184145620337314,0.0030473066622328797,0.003255550656145831,-0.003255550656145831,-0.0035528191868842104,-0.003923927086685063
