section,rank,word,count
3,75,교육부,1530
3,76,기업,1523
3,77,복귀,1514
3,78,보험,1504
3,79,수도,1482
3,80,보건,1482
3,81,대입,1478
3,82,전략,1474
3,83,응급,1467
3,84,학년,1466
3,85,영어,1462
3,86,학부모,1388
3,87,조사,1383
3,88,간호사,1363
3,89,입학,1349
3,90,논의,1347
3,91,한동훈,1328
3,92,대한민국,1324
3,93,점수,1306
3,94,계열,1301
3,95,과학,1299
3,96,수련,1297
3,97,의학,1293
3,98,추진,1289
3,99,수업,1279
3,100,이용,1269
4,1,대학,3224
4,2,학생,2285
4,3,감사,2284
4,4,전형,2260
4,5,정부,2186
4,6,입시,2154
4,7,정원,2119
4,8,지역,1911
4,9,수능,1874
4,10,지원,1704
4,11,모집,1576
4,12,학교,1489
4,13,정시,1394
4,14,학년도,1375
4,15,교육,1361
4,16,인재,1230
4,17,합격,1208
4,18,정책,1196
4,19,등급,1177
4,20,수시,1141
4,21,국민,1134
4,22,인원,1125
4,23,복귀,1080
4,24,수업,1072
4,25,과목,1051
4,26,환자,1031
4,27,서울대,982
4,28,공부,972
4,29,선택,972
4,30,서울,968
4,31,미국,946
4,32,한국,937
4,33,발표,924
4,34,대통령,923
4,35,교과,917
4,36,전공의,887
4,37,평가,863
4,38,수험,862
4,39,필수,839
4,40,내신,818
4,41,기준,815
4,42,증가,814
4,43,준비,806
4,44,사회,802
4,45,교수,797
4,46,분석,775
4,47,반영,754
4,48,경제,752
4,49,확대,741
4,50,수학,731
4,51,성적,726
4,52,학년,712
4,53,입학,710
4,54,건강,703
4,55,휴학,702
4,56,일반,694
4,57,경쟁,690
4,58,전공,680
4,59,점수,680
4,60,최저,673
4,61,학과,672
4,62,학원,671
4,63,뉴스,667
4,64,지방,666
4,65,결정,664
4,66,상위,660
4,67,의협,651
4,68,진료,642
4,69,대입,641
4,70,변화,627
4,71,영향,617
4,72,학번,611
4,73,교육부,608
4,74,국가,608
4,75,나라,606
4,76,해결,603
4,77,개혁,602
4,78,선발,601
4,79,보건,597
4,80,의원,590
4,81,종합,587
4,82,이용,581
4,83,정치,577
4,84,윤석열,574
4,85,부족,573
4,86,대표,571
4,87,학부모,565
4,88,의견,564
4,89,전략,564
4,90,수준,563
4,91,보험,560
4,92,지난해,558
4,93,면접,556
4,94,치료,555
4,95,계열,552
4,96,기업,548
4,97,지금,532
4,98,학생부,529
4,99,도움,528
4,100,말씀,527
