,section_1_mean_tfidf,section_2_mean_tfidf,section_3_mean_tfidf,section_4_mean_tfidf
mbc,0.0001748576693106877,5.154796689181601e-05,8.357480256491589e-05,0.0
mbn,1.7162708348888758e-06,6.169010808773239e-07,0.0,0.0
nh농협,4.69277641504076e-05,0.0,0.0,0.0
nh농협은행,0.0,0.0,1.9063070468073038e-05,7.577185513093685e-05
nh투자증권,3.3946039864174004e-05,1.8800208756350164e-05,7.412677138888337e-05,0.0
n수생,4.1059412797739975e-05,1.9122057935581907e-05,0.00014210258912492513,1.089101105343963e-05
ok저축은행,2.1295193838711987e-05,1.975199126733096e-05,0.0,0.0
pd수첩,6.562731071560801e-05,0.00022253399146418608,3.502925999035287e-05,0.0
sc제일은행,3.7224113913291975e-05,1.7895617187329605e-05,2.1293811499698444e-05,6.719970071560463e-05
sgi서울보증,1.0428826386439379e-06,2.0117583137260353e-05,1.9010491701325044e-05,0.0
sh공사,1.9242479849136086e-06,4.957867330075196e-05,0.0,0.0
sky,6.223367169207209e-06,7.317478418489526e-06,3.549905431532131e-06,0.0
sk그룹,4.5618781397165474e-05,7.178465291708359e-05,3.7305116336806965e-05,0.0
sk바이오팜,2.9238637522186684e-05,1.9909018226641634e-05,7.851841342222486e-05,0.00017616171933809854
sk브로드밴드,0.0,3.058600480344735e-05,3.7486470626501325e-05,0.0
sk이노베이션,4.290103335583817e-05,8.587510631023981e-05,0.00014631721392467087,0.0
sk증권,0.0,4.227748338389983e-06,3.6737290624401173e-06,0.0
sk케미칼,2.4030294372453322e-05,1.928030108941462e-05,2.656548408788929e-06,8.549823060375292e-06
sk텔레콤,0.00012334626025179216,5.5128144030313106e-05,8.7657135252759e-06,0.0
sk하이닉스,4.890706696120075e-05,0.00011736810140673273,9.95559098622034e-05,9.512601449957692e-05
stx엔진,0.0,0.0,1.664725149421413e-05,0.0
stx중공업,0.0,0.0,3.555122653818199e-05,0.0
tv조선,0.0001872772560923627,0.00015105807658607505,0.00020613995353997578,1.4702113940177047e-05
ufj,1.3030614780984739e-05,0.0,1.2783435077870208e-05,0.0
x맨,0.0,5.179695677664293e-05,0.0,5.466856098346549e-05
x선,0.0,6.70648901299023e-06,2.710564142183968e-06,0.0
y,0.0,8.869011614800057e-06,1.0493739529269233e-05,0.0
ytn라디오,0.0,0.0,7.098566191748986e-06,0.0
가감,2.5928387589125427e-05,6.258427905828928e-05,8.658985564394099e-05,4.998011021387695e-05
