keyword,count
의사,20006
의대,19659
의료,14485
증원,12573
정부,8994
병원,7278
정원,7060
대학,6127
생각,5318
지역,5246
국민,4514
전공의,4388
환자,4248
문제,3900
사람,3759
진료,3619
교수,3500
필수,3489
정책,3330
지방,3223
필요,2860
학생,2849
가능,2762
서울,2757
지원,2680
확대,2622
발표,2551
감사,2481
교육,2373
부족,2332
상황,2309
시간,2220
파업,2208
전형,2190
관련,2139
한국,2126
입시,2115
수도,2082
이유,2073
수능,2031
정도,2022
인재,1994
반대,1949
집단,1940
출처,1934
나라,1872
경우,1828
소아,1759
해결,1731
대통령,1730
시장,1729
사회,1727
규모,1715
증가,1683
지금,1660
건강,1659
이상,1658
국가,1587
전공,1586
인력,1554
미국,1552
보험,1534
올해,1532
이번,1504
오늘,1502
인원,1491
수술,1478
결과,1474
전국,1463
공부,1455
내용,1453
입장,1453
기업,1447
의과,1442
수준,1399
의협,1391
뉴스,1383
청소년과,1382
정보,1381
준비,1379
계획,1367
보건,1363
서울대,1357
입학,1357
복지부,1355
대표,1324
의견,1312
정치,1288
선택,1268
하루,1266
학교,1242
현실,1233
경제,1231
기준,1231
치료,1214
면허,1213
수가,1211
시작,1203
사직,1203
이야기,1163
